code;attributes;period;data1;data2;data3;data4;data5;data6;data7;data8
коди;атрибути;період;Volume of production (gross harvest) of grain and leguminous crops;Volume of production (gross harvest) of sunflower;Volume of production (gross harvest) of soya;Volume of production (gross harvest) of winter rapeseed and colza (spring rapeseed);Volume of production (gross harvest) of factory sugar beet;Volume of production (gross harvest) of potatoes;Volume of production (gross harvest) of vegetables;Volume of production (gross harvest) of fruits and berries
0000000000;Ukraine;2015;60125.8;11181.1;3930.6;1737.6;10330.8;20839.3;9214.0;2152.8
0100000000;Autonomous Republic of Crimea;2015;NA;NA;NA;NA;NA;NA;NA;NA
0500000000;Vinnytsya;2015;3768.3;503.6;290.7;188.9;2057.0;1836.6;460.4;292.3
0700000000;Volyn;2015;1062.3;5.2;70.1;85.5;420.2;1098.8;276.4;37.9
1200000000;Dnipropetrovsk;2015;3866.2;1198.6;14.4;84.1;31.4;560.3;728.3;145.5
1400000000;Donetsk;2015;1536.1;528.3;0.4;7.6;10.1;397.7;208.0;104.9
1800000000;Zhytomyr;2015;1459.6;141.5;292.1;47.9;607.2;1176.8;271.9;50.7
2100000000;Zakarpattya;2015;332.4;4.7;13.8;1.2;NA;545.8;267.2;138.4
2300000000;Zaporizhzhya;2015;2728.1;961.8;36.0;50.8;NA;258.5;435.7;66.7
2600000000;Ivano-Frankivsk;2015;688.5;27.3;42.6;58.7;33.4;942.5;169.8;47.2
3200000000;Kyiv;2015;2820.0;292.1;351.6;99.4;882.1;1433.6;511.2;71.5
3500000000;Kirovohrad;2015;3313.9;1170.1;290.3;49.3;483.3;525.5;234.8;28.5
4400000000;Luhansk;2015;992.8;1484.8;0.1;1.0;NA;208.0;163.3;33.6
4600000000;Lviv;2015;1366.3;27.8;76.1;141.2;583.0;1622.5;483.5;106.8
4800000000;Mykolayiv;2015;2896.4;938.7;25.2;41.5;85.4;196.1;483.0;35.6
5100000000;Odesa;2015;3489.0;755.3;10.2;137.7;NA;494.6;436.5;84.9
5300000000;Poltava;2015;5363.2;848.4;475.0;22.2;1395.8;1137.9;517.3;106.0
5600000000;Rivne;2015;1101.5;9.6;138.5;64.2;454.4;1227.6;213.6;99.3
5900000000;Sumy;2015;3734.5;471.2;220.8;23.7;74.6;1068.4;189.2;17.2
6100000000;Ternopil;2015;2199.0;74.7;170.0;170.2;726.6;927.8;255.4;70.7
6300000000;Kharkiv;2015;4209.7;1172.2;62.0;27.7;538.7;1029.0;689.8;88.4
6500000000;Kherson;2015;2621.9;486.5;328.0;59.4;NA;287.2;1251.5;64.7
6800000000;Khmelnytskiy;2015;2792.9;105.9;497.3;223.5;1140.4;1064.9;187.4;205.2
7100000000;Cherkasy;2015;3745.5;541.6;264.3;110.3;490.5;778.2;365.3;56.9
7300000000;Chernivtsi;2015;523.5;20.8;109.8;16.3;5.6;586.3;222.3;178.5
7400000000;Chernihiv;2015;3514.2;410.4;151.3;25.3;311.1;1434.7;192.2;21.4
8000000000;City of Kyiv;2015;NA;NA;NA;NA;NA;NA;NA;NA
8500000000;City of Sevastopol;2015;NA;NA;NA;NA;NA;NA;NA;NA
0000000000;Ukraine;2016;66088.0;13626.9;4277.0;1153.9;14011.3;21750.3;9414.5;2007.3
0100000000;Autonomous Republic of Crimea;2016;NA;NA;NA;NA;NA;NA;NA;NA
0500000000;Vinnytsya;2016;5563.5;819.8;323.3;99.2;2638.6;1848.5;477.8;269.5
0700000000;Volyn;2016;1109.7;15.6;84.9;47.3;580.4;1132.4;288.7;37.0
1200000000;Dnipropetrovsk;2016;3480.8;1264.1;10.3;77.4;54.2;602.1;732.7;149.4
1400000000;Donetsk;2016;1793.4;620.0;1.3;7.9;11.6;409.1;213.8;88.3
1800000000;Zhytomyr;2016;2093.9;231.7;295.4;23.1;607.3;1316.6;297.0;41.7
2100000000;Zakarpattya;2016;412.4;6.9;16.4;0.5;NA;534.3;267.2;128.5
2300000000;Zaporizhzhya;2016;2624.4;985.2;45.6;42.2;NA;263.7;391.4;61.8
2600000000;Ivano-Frankivsk;2016;772.8;53.1;49.2;56.2;63.8;975.0;172.2;48.7
3200000000;Kyiv;2016;3327.5;452.6;393.4;49.5;1123.8;1703.1;631.1;69.3
3500000000;Kirovohrad;2016;3725.8;1293.8;278.8;63.3;657.5;603.4;233.9;28.1
4400000000;Luhansk;2016;1274.2;670.1;0.1;2.6;NA;252.8;168.0;26.3
4600000000;Lviv;2016;1428.8;67.6;111.4;118.3;677.9;1618.9;505.7;107.6
